Year,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
2019,NYM,"2,442,532","30,155",27.9,28.6,92,92,0,3,16,"$154,837,230 ",3:09,36,13,36%,Callaway
2019,NYY,"3,304,404","40,795",28.3,30.2,98,96,0,5,15,"$228,442,421 ",3:11,22,15,68%,Boone
2019,OAK,"1,662,211","20,521",27.8,30.8,95,93,0,2,6,"$102,935,833 ",3:07,29,12,41%,Melvin
2019,PHI,"2,727,421","33,672",27.6,28.4,102,102,0,1,12,"$141,786,962 ",3:15,43,23,53%,Kapler
2019,PIT,"1,491,439","18,413",27.4,27.2,96,97,0,2,7,"$72,915,501 ",3:12,36,15,41%,Hurdle and Prince
2019,SDP,"2,396,399","29,585",26.1,26.3,95,96,0,1,5,"$90,260,767 ",3:07,54,25,46%,Green and Barajas
2019,SEA,"1,791,720","22,120",27.8,28.6,93,94,0,1,8,"$126,874,600 ",3:08,38,18,47%,Servais
2019,SFG,"2,707,760","33,429",29.9,28.9,94,95,0,1,15,"$175,550,753 ",3:07,28,15,53%,Bochy
2019,STL,"3,480,393","42,968",28.8,27.8,98,97,0,1,12,"$161,120,267 ",3:10,39,16,41%,Shildt
2019,TBR,"1,178,735","14,552",27.2,27.8,97,96,0,3,6,"$56,071,767 ",3:11,48,22,45%,Cash
2019,TEX,"2,132,994","26,333",28.8,28.3,111,112,0,3,9,"$104,433,499 ",3:11,46,29,63%,Woodward
2019,TOR,"1,750,144","21,607",25.9,28,97,98,0,1,5,"$64,680,671 ",3:07,39,17,43%,Montoyo
2019,WSN,"2,259,781","27,899",28.7,30.8,106,104,0,2,14,"$203,016,595 ",3:12,31,15,48%,Martinez
2018,ARI,"2,242,695","27,688",29.2,29.6,105,104,0,3,11,"$134,850,600 ",3:10,45,26,57%,Lovullo
2018,ATL,"2,555,781","31,553",27.4,27.7,101,101,0,4,13,"$115,848,667 ",3:04,45,18,40%,Snitker
2018,BAL,"1,564,192","19,311",28.4,27.1,98,100,0,1,11,"$141,555,833 ",3:01,27,15,55%,Showalter
2018,BOS,"2,895,575","35,748",27.7,28.9,104,103,0,5,16,"$222,205,000 ",3:13,43,22,51%,Cora
2018,CHC,"3,181,089","38,794",27.2,30.2,104,103,0,3,14,"$205,373,881 ",3:09,43,27,62%,Maddon
2018,CHW,"1,608,817","19,862",26.5,27.6,98,99,0,1,6,"$75,092,000 ",3:08,40,20,50%,Renteria
2018,CIN,"1,629,356","20,116",27.2,27.1,102,103,0,3,8,"$94,587,500 ",3:03,38,14,36%,Price and Riggleman
2018,CLE,"1,926,701","23,786",29.4,29.4,103,101,0,6,15,"$143,375,233 ",3:03,37,16,43%,Francona
2018,COL,"3,015,880","37,233",28.7,27.9,117,117,0,3,9,"$136,658,500 ",3:04,46,24,52%,Black
2018,DET,"1,856,970","22,926",27.9,28.6,103,105,0,1,9,"$111,531,000 ",3:00,32,19,59%,Gardenhire
2018,HOU,"2,980,549","36,797",28.1,30,99,97,0,6,14,"$172,781,200 ",3:04,34,14,41%,Hinch
2018,KCR,"1,665,107","20,557",28.6,27.6,100,101,0,1,6,"$95,199,167 ",2:57,41,31,75%,Yost
2018,LAA,"3,020,216","37,287",29.5,27.5,98,98,0,1,7,"$166,849,666 ",3:09,42,23,54%,Scioscia
2018,LAD,"3,857,500","47,043",28.1,29.2,98,96,0,3,18,"$164,703,429 ",3:13,39,18,46%,Roberts
2018,MIA,"811,104","10,014",27.5,27.6,94,95,0,1,4,"$86,515,143 ",3:02,41,22,53%,Mattingly
2018,MIL,"2,850,875","35,196",28.9,28.8,102,101,0,5,14,"$109,295,700 ",3:07,34,7,20%,Counsell
2018,MIN,"1,959,197","24,188",28.2,28.5,101,100,0,1,13,"$110,275,000 ",3:10,45,21,46%,Molitor
2018,NYM,"2,224,995","27,469",28.4,28,92,92,0,1,17,"$161,403,844 ",3:01,29,15,51%,Callaway
2018,NYY,"3,482,855","42,998",27.2,28.8,100,98,0,4,16,"$160,743,032 ",3:11,35,26,74%,Boone
2018,OAK,"1,573,616","19,427",28,29.2,97,97,0,2,10,"$69,883,333 ",3:05,42,21,50%,Melvin
2018,PHI,"2,158,124","26,644",26.7,26.8,102,102,0,1,8,"$93,874,333 ",3:10,44,27,61%,Kapler
2018,PIT,"1,465,316","18,316",27.8,26.5,96,97,0,1,8,"$88,141,000 ",3:04,48,23,47%,Hurdle
2018,SDP,"2,168,536","26,772",26.9,27.7,93,95,0,1,6,"$93,821,067 ",3:00,44,19,43%,Green
2018,SEA,"2,299,489","28,389",29.8,29,94,95,0,4,13,"$157,090,065 ",2:58,37,13,35%,Servais
2018,SFG,"3,156,185","38,965",29.8,28.6,93,94,0,2,14,"$202,060,277 ",3:01,31,23,74%,Bochy
2018,STL,"3,403,587","42,020",28.1,26.7,97,96,0,2,12,"$157,713,667 ",3:10,47,18,38%,Matheny and Shildt
2018,TBR,"1,154,973","14,259",27.1,27.1,97,96,0,2,9,"$46,011,667 ",3:01,54,26,48%,Cash
2018,TEX,"2,107,107","26,014",27.4,30.4,110,111,0,1,9,"$106,099,628 ",3:04,42,17,40%,Banister and Wakamatsu
2018,TOR,"2,325,281","28,707",29,29.3,98,99,0,1,11,"$151,670,772 ",2:59,39,18,46%,Gibbons
2018,WSN,"2,529,604","31,230",27.5,30.2,106,105,0,2,14,"$188,886,699 ",3:07,40,21,52%,Martinez
2017,ARI,"2,134,375","26,350",28.3,28.7,108,108,0,4,10,"$106,580,200 ",3:09,32,16,50%,Lovullo
2017,ATL,"2,505,252","30,929",28.6,29.4,100,100,0,1,12,"$119,705,250 ",3:04,47,19,40%,Snitker
2017,BAL,"2,028,424","25,042",28.6,28.2,97,99,0,1,14,"$161,621,633 ",3:09,26,17,65%,Showalter
2017,BOS,"2,917,678","36,021",27.3,28.4,105,104,0,3,15,"$200,550,750 ",3:20,43,16,37%,Farrell
2017,CHC,"3,199,562","39,501",27.1,30.8,103,101,0,1,16,"$177,210,667 ",3:09,53,28,52%,Maddon
2017,CHW,"1,629,470","20,117",26.7,28.7,97,98,0,1,10,"$97,842,000 ",3:10,35,17,48%,Renteria
2017,CIN,"1,836,917","22,678",27.2,27.6,101,103,0,2,8,"$79,315,786 ",3:03,38,19,50%,Price
2017,CLE,"2,048,138","25,286",28.1,28.9,106,104,0,5,12,"$114,427,167 ",3:06,32,15,46%,Francona
2017,COL,"2,953,650","36,465",28.3,27,117,116,0,4,9,"$106,650,000 ",3:11,38,16,42%,Black
2017,DET,"2,321,599","28,662",29.6,28.3,101,102,0,2,15,"$118,375,600 ",3:14,37,16,43%,Ausmus
2017,HOU,"2,403,671","29,675",28.8,28.5,94,93,0,6,14,"$157,656,400 ",3:10,39,18,46%,Hinch
2017,KCR,"2,220,370","27,412",28.9,30.3,101,102,0,3,17,"$127,555,817 ",3:02,34,24,70%,Yost
2017,LAA,"3,019,585","37,279",29.9,29.1,97,97,0,1,7,"$181,125,500 ",3:11,39,21,53%,Scioscia
2017,LAD,"3,765,856","46,492",27.9,29.7,96,95,0,6,19,"$201,466,263 ",3:11,36,23,63%,Roberts
2017,MIA,"1,583,014","20,295",28.3,28.7,90,91,0,2,10,"$111,591,100 ",3:06,35,18,51%,Mattingly
2017,MIL,"2,627,705","31,282",27.4,28.3,101,101,0,1,8,"$68,439,300 ",3:10,43,17,39%,Counsell
2017,MIN,"2,051,279","25,324",27.1,29.6,100,101,0,3,13,"$103,932,500 ",3:11,28,19,67%,Molitor
2017,NYM,"2,460,622","30,378",28.9,27.5,94,95,0,1,11,"$176,615,252 ",3:09,39,23,58%,Collins
2017,NYY,"3,154,938","38,950",28.6,27.8,104,103,0,5,16,"$182,424,700 ",3:16,40,30,75%,Girardi
2017,OAK,"1,475,721","18,219",28.7,27.9,95,95,0,1,9,"$51,560,000 ",3:09,32,16,50%,Melvin
2017,PHI,"1,905,354","23,523",26.6,26.8,98,99,0,1,7,"$86,276,000 ",3:08,29,17,58%,Mackanin
2017,PIT,"1,919,447","23,697",28.2,27.1,97,98,0,1,8,"$102,953,333 ",3:07,49,31,63%,Hurdle
2017,SDP,"2,138,491","26,401",26.2,27.7,95,97,0,1,7,"$49,248,767 ",3:00,42,17,40%,Green
2017,SEA,"2,135,445","26,364",29.6,27.8,95,95,0,2,12,"$172,438,700 ",3:06,34,17,50%,Servais
2017,SFG,"3,303,652","40,786",29.5,28.9,98,98,0,1,14,"$177,399,833 ",3:04,31,19,61%,Bochy
2017,STL,"3,448,337","42,572",28,28.3,98,97,0,2,15,"$129,652,933 ",3:04,50,26,52%,Matheny
2017,TBR,"1,253,619","15,477",28.3,27.6,96,96,0,2,11,"$79,473,033 ",3:13,59,29,49%,Cash
2017,TEX,"2,507,760","30,960",28.4,28.8,110,110,0,1,12,"$207,326,274 ",3:13,62,33,53%,Banister
2017,TOR,"3,203,886","39,554",31,28.8,101,102,0,2,14,"$158,890,575 ",3:09,45,12,26%,Gibbons
2017,WSN,"2,524,980","31,173",29.2,30.1,104,103,0,5,14,"$175,587,301 ",3:09,32,12,37%,Baker
2016,ARI,"2,036,216","25,138",26.7,26.4,107,107,0,1,12,"$78,399,500 ",3:14,37,22,59%,Hale
