Year,Tm,Attendance,AttendG,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,TmName,TmColor,WSWin
2016,CLE,"1,591,667","19,650",29,28.1,109,107,0,3,13,"$94,511,067.00",Cleveland Indians,#0C2340,FALSE
2015,CLE,"1,388,905","17,361",28,27.3,107,107,0,1,13,"$59,163,766.00",Cleveland Indians,#0C2340,FALSE
2014,CLE,"1,437,393","17,746",28.6,27.2,103,102,0,1,14,"$73,509,399.00",Cleveland Indians,#0C2340,FALSE
2013,CLE,"1,572,926","19,419",28.7,27.5,95,95,0,2,16,"$87,342,433.00",Cleveland Indians,#0C2340,FALSE
2012,CLE,"1,603,596","19,797",27.8,27.6,94,95,0,2,13,"$78,911,300.00",Cleveland Indians,#0C2340,FALSE
2011,CLE,"1,840,835","22,726",27.8,26.7,94,96,1,2,13,"$49,426,566.00",Cleveland Indians,#0C2340,FALSE
2010,CLE,"1,391,644","17,181",27.2,26.6,94,95,0,1,12,"$61,203,966.00",Cleveland Indians,#0C2340,FALSE
2009,CLE,"1,766,242","21,805",27.4,27.8,95,95,0,1,12,"$85,224,866.00",Cleveland Indians,#0C2340,FALSE
2008,CLE,"2,169,760","26,787",27.6,28.6,98,97,0,2,12,"$78,970,066.00",Cleveland Indians,#0C2340,FALSE
2007,CLE,"2,275,912","28,449",28,29.4,101,100,0,3,13,"$61,673,267.00",Cleveland Indians,#0C2340,FALSE
2006,CLE,"1,997,995","24,667",27.7,28.6,99,98,0,1,14,"$56,031,500.00",Cleveland Indians,#0C2340,FALSE
2005,CLE,"2,013,763","24,861",27.5,29.2,96,96,0,1,14,"$41,502,500.00",Cleveland Indians,#0C2340,FALSE
2004,CLE,"1,814,401","22,400",28.6,27.3,94,94,0,5,12,"$34,319,300.00",Cleveland Indians,#0C2340,FALSE
2003,CLE,"1,730,002","21,358",27.1,26.3,96,97,0,1,14,"$48,584,834.00",Cleveland Indians,#0C2340,FALSE
2002,CLE,"2,616,940","32,308",30.4,28.1,97,98,1,1,20,"$78,909,449.00",Cleveland Indians,#0C2340,FALSE
2001,CLE,"3,175,523","39,694",31.1,29.1,100,100,2,2,17,"$93,360,001.00",Cleveland Indians,#0C2340,FALSE
2000,CLE,"3,456,278","42,670",30.1,30.2,101,100,2,4,15,"$76,972,271.00",Cleveland Indians,#0C2340,FALSE
1999,CLE,"3,468,456","42,820",29,30.6,103,102,3,6,16,"$73,679,962.00",Cleveland Indians,#0C2340,FALSE
1998,CLE,"3,467,299","42,806",29.4,29.8,103,102,1,6,17,"$61,718,166.00",Cleveland Indians,#0C2340,FALSE
1997,CLE,"3,404,750","42,034",30.2,29.7,103,102,1,3,22,"$56,802,460.00",Cleveland Indians,#0C2340,FALSE
1996,CLE,"3,318,174","41,477",29.7,30.3,99,97,2,5,21,"$48,216,360.00",Cleveland Indians,#0C2340,FALSE
1995,CLE,"2,842,745","39,483",29,30.6,101,99,3,6,18,"$38,057,835.00",Cleveland Indians,#0C2340,FALSE
1994,CLE,"1,995,174","39,121",28.3,30.7,98,97,3,2,14,"$30,490,500.00",Cleveland Indians,#0C2340,FALSE
1993,CLE,"2,177,908","26,888",27.2,27.3,100,100,1,2,11,"$18,561,000.00",Cleveland Indians,#0C2340,FALSE
1992,CLE,"1,224,094","15,112",25.7,27,98,99,1,3,11,"$9,373,044.00",Cleveland Indians,#0C2340,FALSE
1991,CLE,"1,051,863","12,828",25.5,26.8,101,102,1,1,10,"$17,635,000.00",Cleveland Indians,#0C2340,FALSE
1990,CLE,"1,225,240","15,126",27.3,28.1,99,100,0,3,10,"$15,208,000.00",Cleveland Indians,#0C2340,FALSE
1989,CLE,"1,285,542","15,871",27,28.5,101,102,0,2,6,"$9,894,500.00",Cleveland Indians,#0C2340,FALSE
1988,CLE,"1,411,610","17,427",28.1,27,102,103,0,1,8,"$9,261,500.00",Cleveland Indians,#0C2340,FALSE
1987,CLE,"1,077,898","13,307",27.5,30.5,100,101,2,1,12,"$9,033,750.00",Cleveland Indians,#0C2340,FALSE
1986,CLE,"1,471,805","18,170",27.5,29.8,98,99,1,2,13,"$7,809,500.00",Cleveland Indians,#0C2340,FALSE
1985,CLE,"655,181","8,089",28,27.4,99,100,1,1,9,"$6,551,666.00",Cleveland Indians,#0C2340,FALSE
1984,CLE,"734,079","9,063",27.4,27.2,102,103,1,1,10,"$4,685,000.00",Cleveland Indians,#0C2340,FALSE
1983,CLE,"768,941","9,493",29.9,27.7,104,105,1,2,13,"$4,910,000.00",Cleveland Indians,#0C2340,FALSE
1982,CLE,"1,044,021","12,889",28.7,27.4,100,101,1,2,11,"$3,002,500.00",Cleveland Indians,#0C2340,FALSE
1981,CLE,"661,395","12,248",28.8,28.3,99,100,1,2,10,"$2,843,167.00",Cleveland Indians,#0C2340,FALSE
1980,CLE,"1,033,827","13,086",27.7,26.8,101,102,0,1,7,,Cleveland Indians,#0C2340,FALSE
1979,CLE,"1,011,644","12,489",28.2,26.7,100,101,0,1,8,,Cleveland Indians,#0C2340,FALSE
1978,CLE,"800,584","10,264",26.7,27.1,99,99,0,1,9,,Cleveland Indians,#0C2340,FALSE
1977,CLE,"900,365","11,116",27.7,27.9,96,97,1,3,14,"$1,285,333.00",Cleveland Indians,#0C2340,FALSE
1976,CLE,"948,776","12,010",27.3,28.4,98,98,2,1,13,,Cleveland Indians,#0C2340,FALSE
1975,CLE,"977,039","12,213",26.7,27.8,99,99,3,1,14,,Cleveland Indians,#0C2340,FALSE
1974,CLE,"1,114,262","13,756",25.5,31.5,99,100,2,2,10,"$668,175.00",Cleveland Indians,#0C2340,FALSE
1973,CLE,"615,107","7,594",24.6,28.6,102,103,1,1,7,"$614,450.00",Cleveland Indians,#0C2340,FALSE
1972,CLE,"626,354","8,134",25.4,26.6,104,105,1,1,9,"$513,350.00",Cleveland Indians,#0C2340,FALSE
1971,CLE,"591,361","7,301",26.3,25.1,109,110,0,2,10,"$489,400.00",Cleveland Indians,#0C2340,FALSE
1970,CLE,"729,752","9,009",26.2,25.9,104,105,0,2,10,"$551,320.00",Cleveland Indians,#0C2340,FALSE
1969,CLE,"619,970","7,654",27.3,27.3,103,103,0,1,16,"$497,500.00",Cleveland Indians,#0C2340,FALSE
2019,COL,"2,993,244","36,954",28.2,27.3,118,118,0,4,8,"$145,348,500.00",Colorado Rockies,#33006F,FALSE
2018,COL,"3,015,880","37,233",28.7,27.9,117,117,0,3,9,"$136,658,500.00",Colorado Rockies,#33006F,FALSE
2017,COL,"2,953,650","36,465",28.3,27,117,116,0,4,9,"$106,650,000.00",Colorado Rockies,#33006F,FALSE
2016,COL,"2,602,524","32,130",27.8,27.7,116,116,0,2,6,"$89,707,000.00",Colorado Rockies,#33006F,FALSE
2015,COL,"2,506,789","30,948",28,28.7,118,118,0,3,8,"$96,438,600.00",Colorado Rockies,#33006F,FALSE
2014,COL,"2,680,329","33,090",27.4,28.5,116,116,0,2,9,"$95,403,500.00",Colorado Rockies,#33006F,FALSE
2013,COL,"2,793,828","34,492",27.7,28.3,118,119,0,3,12,"$73,768,000.00",Colorado Rockies,#33006F,FALSE
2012,COL,"2,630,458","32,475",28.1,28.2,117,117,0,1,13,"$75,485,000.00",Colorado Rockies,#33006F,FALSE
2011,COL,"2,909,777","35,923",28.6,27.7,119,119,0,1,13,"$91,648,071.00",Colorado Rockies,#33006F,FALSE
2010,COL,"2,875,245","35,497",28.8,28.1,115,115,0,2,10,"$90,677,000.00",Colorado Rockies,#33006F,FALSE
2009,COL,"2,665,080","32,902",27.8,28.5,112,112,0,2,12,"$79,250,200.00",Colorado Rockies,#33006F,FALSE
2008,COL,"2,650,218","32,719",27.5,28.5,109,109,0,2,12,"$68,655,500.00",Colorado Rockies,#33006F,FALSE
2007,COL,"2,376,250","28,979",27.9,28.1,107,108,0,2,10,"$54,041,000.00",Colorado Rockies,#33006F,FALSE
2006,COL,"2,104,362","25,980",27.8,28.8,109,109,0,2,10,"$41,233,000.00",Colorado Rockies,#33006F,FALSE
2005,COL,"1,914,389","23,634",27.2,27.3,112,113,0,1,8,"$47,839,000.00",Colorado Rockies,#33006F,FALSE
2004,COL,"2,338,069","28,865",30.4,28.8,113,114,1,1,13,"$65,445,167.00",Colorado Rockies,#33006F,FALSE
2003,COL,"2,334,085","28,816",29.5,28,115,116,1,3,13,"$67,179,667.00",Colorado Rockies,#33006F,FALSE
2002,COL,"2,737,838","33,800",28.7,28.5,115,116,1,1,9,"$56,851,043.00",Colorado Rockies,#33006F,FALSE
2001,COL,"3,166,821","39,097",28.3,28.7,122,122,1,3,7,"$71,541,334.00",Colorado Rockies,#33006F,FALSE
2000,COL,"3,295,129","40,681",29.2,29.9,125,125,1,3,5,"$61,111,190.00",Colorado Rockies,#33006F,FALSE
1999,COL,"3,481,065","42,976",29.7,28.9,126,127,1,1,5,"$61,935,837.00",Colorado Rockies,#33006F,FALSE
1998,COL,"3,792,683","46,823",29.5,27.8,121,122,1,3,6,"$50,484,648.00",Colorado Rockies,#33006F,FALSE
1997,COL,"3,888,453","48,006",30.4,27.9,122,123,1,2,8,"$43,559,667.00",Colorado Rockies,#33006F,FALSE
1996,COL,"3,891,014","48,037",30.1,28.8,123,123,1,3,7,"$40,324,823.00",Colorado Rockies,#33006F,FALSE
1995,COL,"3,390,037","47,084",29.5,28.6,128,128,1,2,10,"$34,154,717.00",Colorado Rockies,#33006F,FALSE
1994,COL,"3,281,511","57,570",29.7,28,117,118,0,1,9,"$23,887,333.00",Colorado Rockies,#33006F,FALSE
1993,COL,"4,483,350","55,350",27.7,27.1,116,118,0,1,9,"$10,353,500.00",Colorado Rockies,#33006F,FALSE
2019,DET,"1,501,430","18,536",27.6,27.8,102,104,0,1,9,"$100,618,500.00",Detroit Tigers,#0C2340,FALSE
2018,DET,"1,856,970","22,926",27.9,28.6,103,105,0,1,9,"$111,531,000.00",Detroit Tigers,#0C2340,FALSE
2017,DET,"2,321,599","28,662",29.6,28.3,101,102,0,2,15,"$118,375,600.00",Detroit Tigers,#0C2340,FALSE
2016,DET,"2,493,859","31,173",30,29,100,101,0,1,13,"$199,902,000.00",Detroit Tigers,#0C2340,FALSE
2015,DET,"2,726,048","33,655",28.3,28.7,99,99,0,4,16,"$172,284,750.00",Detroit Tigers,#0C2340,FALSE
2014,DET,"2,917,209","36,015",29.8,28.5,101,101,0,4,17,"$169,135,500.00",Detroit Tigers,#0C2340,FALSE
2013,DET,"3,083,397","38,067",30,28.4,104,104,0,6,12,"$154,407,000.00",Detroit Tigers,#0C2340,FALSE
2012,DET,"3,028,033","37,383",27.9,28.2,105,104,0,3,10,"$131,394,000.00",Detroit Tigers,#0C2340,FALSE
2011,DET,"2,642,045","32,618",28.6,27.8,102,101,0,5,11,"$106,875,231.00",Detroit Tigers,#0C2340,FALSE
2010,DET,"2,461,237","30,386",29,26.5,102,101,0,3,11,"$124,039,928.00",Detroit Tigers,#0C2340,FALSE
2009,DET,"2,567,165","31,693",29.8,26.6,101,101,0,4,11,"$119,510,145.00",Detroit Tigers,#0C2340,FALSE
2008,DET,"3,202,645","39,539",30.3,29.9,102,102,1,1,17,"$138,785,196.00",Detroit Tigers,#0C2340,FALSE
2007,DET,"3,047,133","37,619",30.9,28.5,102,101,1,5,17,"$95,180,369.00",Detroit Tigers,#0C2340,FALSE
2006,DET,"2,595,937","32,049",29.3,28.8,100,99,1,3,15,"$82,612,866.00",Detroit Tigers,#0C2340,FALSE
2005,DET,"2,024,431","24,993",28.5,28,97,97,1,1,15,"$69,092,000.00",Detroit Tigers,#0C2340,FALSE
2004,DET,"1,917,004","23,667",28.1,27.5,94,96,1,2,10,"$46,832,000.00",Detroit Tigers,#0C2340,FALSE
2003,DET,"1,368,245","16,892",27.3,25.3,93,95,0,1,7,"$49,168,000.00",Detroit Tigers,#0C2340,FALSE
2002,DET,"1,503,623","18,795",28.1,28.1,92,95,0,1,10,"$55,048,000.00",Detroit Tigers,#0C2340,FALSE
2001,DET,"1,921,305","23,720",28.3,28.1,93,95,0,1,8,"$53,416,167.00",Detroit Tigers,#0C2340,FALSE
2000,DET,"2,438,617","30,106",29.1,29.1,94,95,0,1,9,"$59,645,167.00",Detroit Tigers,#0C2340,FALSE
1999,DET,"2,026,441","25,018",27.5,27.6,99,100,0,1,9,"$36,689,666.00",Detroit Tigers,#0C2340,FALSE
1998,DET,"1,409,391","17,400",27.3,26.6,100,101,0,1,7,"$24,265,000.00",Detroit Tigers,#0C2340,FALSE
1997,DET,"1,365,157","16,854",26.4,27.5,99,100,0,1,7,"$17,272,000.00",Detroit Tigers,#0C2340,FALSE
1996,DET,"1,168,610","14,427",27,26.7,100,102,1,1,11,"$23,438,000.00",Detroit Tigers,#0C2340,FALSE
1995,DET,"1,180,979","16,402",28.8,27.8,100,102,1,1,11,"$37,044,168.00",Detroit Tigers,#0C2340,FALSE
1994,DET,"1,184,783","20,427",30.8,31.2,100,101,1,2,11,"$41,446,501.00",Detroit Tigers,#0C2340,FALSE
1993,DET,"1,971,421","24,339",30.8,30.1,99,99,1,2,9,"$38,150,165.00",Detroit Tigers,#0C2340,FALSE
1992,DET,"1,423,963","17,800",30,29.6,100,100,1,1,7,"$27,322,834.00",Detroit Tigers,#0C2340,FALSE
1991,DET,"1,641,661","20,267",29.2,30.8,102,102,1,1,9,"$23,838,333.00",Detroit Tigers,#0C2340,FALSE
1990,DET,"1,495,785","18,466",30.7,30.3,101,102,2,2,12,"$18,393,238.00",Detroit Tigers,#0C2340,FALSE
1989,DET,"1,543,656","19,057",31,31,98,99,2,1,12,"$15,669,304.00",Detroit Tigers,#0C2340,FALSE
1988,DET,"2,081,162","25,693",32.2,31.1,96,96,2,2,12,"$13,432,071.00",Detroit Tigers,#0C2340,FALSE
1987,DET,"2,061,830","25,455",31.2,29.5,96,95,2,4,13,"$12,122,881.00",Detroit Tigers,#0C2340,FALSE
1986,DET,"1,899,437","23,450",30.5,28.9,100,99,2,3,14,"$12,335,714.00",Detroit Tigers,#0C2340,FALSE
1985,DET,"2,286,609","28,230",29.5,29.1,99,98,2,6,11,"$10,348,143.00",Detroit Tigers,#0C2340,FALSE
1984,DET,"2,704,794","32,985",28.5,29.7,99,98,2,6,13,,Detroit Tigers,#0C2340,TRUE
1983,DET,"1,829,636","22,588",27.7,28.1,97,96,2,3,10,,Detroit Tigers,#0C2340,FALSE
1982,DET,"1,636,058","20,198",27.1,26.7,100,99,2,1,9,,Detroit Tigers,#0C2340,FALSE
1981,DET,"1,149,144","20,894",27.1,26.2,103,103,2,1,7,,Detroit Tigers,#0C2340,FALSE
1980,DET,"1,785,293","21,772",26.4,25.6,102,102,2,2,11,,Detroit Tigers,#0C2340,FALSE
1979,DET,"1,630,929","20,387",26.5,26.3,103,103,2,1,14,,Detroit Tigers,#0C2340,FALSE
1978,DET,"1,714,893","21,172",26.2,27.1,103,102,2,1,12,,Detroit Tigers,#0C2340,FALSE
1977,DET,"1,359,856","16,788",27.3,25.8,105,105,2,2,12,"$943,500.00",Detroit Tigers,#0C2340,FALSE
1976,DET,"1,467,020","18,338",28,26.7,103,105,0,3,11,,Detroit Tigers,#0C2340,FALSE
1975,DET,"1,058,836","13,235",27.7,27.4,103,105,0,1,9,,Detroit Tigers,#0C2340,FALSE
1974,DET,"1,243,080","15,347",30,28.9,102,104,1,2,13,"$559,500.00",Detroit Tigers,#0C2340,FALSE
1973,DET,"1,724,146","21,286",31.7,30.4,106,106,1,3,15,"$636,500.00",Detroit Tigers,#0C2340,FALSE
1972,DET,"1,892,386","24,261",30.7,27.8,103,103,1,4,14,"$621,300.00",Detroit Tigers,#0C2340,FALSE
1971,DET,"1,591,073","19,643",29.7,26.7,105,104,1,4,11,"$457,700.00",Detroit Tigers,#0C2340,FALSE
1970,DET,"1,501,293","18,534",28.8,26.6,101,101,1,2,10,"$377,100.00",Detroit Tigers,#0C2340,FALSE
1969,DET,"1,577,481","19,475",28.9,28.1,105,103,1,3,13,"$397,000.00",Detroit Tigers,#0C2340,FALSE
2011,FLA,"1,520,562","18,772",27.4,28,101,102,0,1,11,"$57,694,000.00",Miami Marlins,#00A3E0,FALSE
2010,FLA,"1,524,894","18,826",26.9,27.1,103,103,0,2,6,"$57,454,719.00",Miami Marlins,#00A3E0,FALSE
2009,FLA,"1,464,109","18,075",27,26.3,102,102,0,2,6,"$40,029,000.00",Miami Marlins,#00A3E0,FALSE
2008,FLA,"1,335,076","16,482",28,26.6,101,101,0,2,8,"$21,811,500.00",Miami Marlins,#00A3E0,FALSE
2007,FLA,"1,370,511","16,920",26.7,26.2,97,98,0,1,8,"$30,507,000.00",Miami Marlins,#00A3E0,FALSE
2006,FLA,"1,164,134","14,372",25.5,25.9,95,96,0,2,6,"$14,671,500.00",Miami Marlins,#00A3E0,FALSE
2005,FLA,"1,852,608","22,872",29.7,29.5,94,94,0,4,16,"$60,408,834.00",Miami Marlins,#00A3E0,FALSE
2004,FLA,"1,723,105","21,539",28.8,27.8,95,95,0,4,14,"$42,143,042.00",Miami Marlins,#00A3E0,FALSE
2003,FLA,"1,303,215","16,089",27.7,26.3,98,98,1,3,14,"$49,450,000.00",Miami Marlins,#00A3E0,TRUE
2002,FLA,"813,118","10,038",28.4,26.1,97,97,1,2,13,"$41,979,917.00",Miami Marlins,#00A3E0,FALSE
2001,FLA,"1,261,226","15,765",27.3,26.5,96,97,0,2,14,"$35,762,500.00",Miami Marlins,#00A3E0,FALSE
2000,FLA,"1,218,326","15,041",26.1,26.7,94,95,0,1,12,"$20,347,000.00",Miami Marlins,#00A3E0,FALSE
1999,FLA,"1,369,421","17,118",25.2,26,93,94,0,1,9,"$21,085,000.00",Miami Marlins,#00A3E0,FALSE
1998,FLA,"1,730,384","21,363",25.5,24.5,94,95,1,1,12,"$41,864,667.00",Miami Marlins,#00A3E0,FALSE
1997,FLA,"2,364,387","29,190",28.5,27.5,95,96,0,3,14,"$48,692,500.00",Miami Marlins,#00A3E0,TRUE
1996,FLA,"1,746,767","21,565",27.9,28,97,96,1,3,13,"$31,132,000.00",Miami Marlins,#00A3E0,FALSE
1995,FLA,"1,700,466","23,950",28.1,28.3,100,100,1,1,8,"$24,515,781.00",Miami Marlins,#00A3E0,FALSE
1994,FLA,"1,937,467","32,838",27.6,29,102,103,0,1,8,"$21,633,000.00",Miami Marlins,#00A3E0,FALSE
1993,FLA,"3,064,847","37,838",27.7,29.7,104,105,1,2,10,"$19,330,545.00",Miami Marlins,#00A3E0,FALSE
2019,HOU,"2,857,367","35,276",28.9,29.9,103,100,0,6,15,"$166,042,500.00",Houston Astros,#00A3E0,FALSE
2018,HOU,"2,980,549","36,797",28.1,30,99,97,0,6,14,"$172,781,200.00",Houston Astros,#00A3E0,FALSE
2017,HOU,"2,403,671","29,675",28.8,28.5,94,93,0,6,14,"$157,656,400.00",Houston Astros,#00A3E0,TRUE
2016,HOU,"2,306,623","28,477",26.4,28.9,94,93,0,2,11,"$89,498,000.00",Houston Astros,#00A3E0,FALSE
2015,HOU,"2,153,585","26,587",26.3,29.4,97,97,0,2,12,"$93,256,200.00",Houston Astros,#00A3E0,FALSE
2014,HOU,"1,751,829","21,628",25.4,27.9,100,101,0,1,6,"$44,736,800.00",Houston Astros,#00A3E0,FALSE
2013,HOU,"1,651,883","20,394",25.9,27.2,99,101,0,1,5,"$14,672,300.00",Houston Astros,#00A3E0,FALSE
2012,HOU,"1,607,733","19,849",26.6,27.2,100,102,0,1,8,"$37,651,000.00",Houston Astros,#00A3E0,FALSE
2011,HOU,"2,067,016","25,519",28.2,27.2,98,99,0,1,7,"$71,110,500.00",Houston Astros,#00A3E0,FALSE
2010,HOU,"2,331,490","28,784",29.5,29.6,97,98,0,1,8,"$93,216,000.00",Houston Astros,#00A3E0,FALSE
2009,HOU,"2,521,076","31,124",31.6,31.2,98,98,1,2,12,"$105,804,414.00",Houston Astros,#00A3E0,FALSE
2008,HOU,"2,779,487","34,744",31.1,30.9,97,98,0,2,13,"$87,946,807.00",Houston Astros,#00A3E0,FALSE
2007,HOU,"3,020,405","37,289",31.4,30.2,100,100,1,2,11,"$87,759,000.00",Houston Astros,#00A3E0,FALSE
2006,HOU,"3,022,763","37,318",30.5,29.8,100,99,1,2,9,"$100,894,435.00",Houston Astros,#00A3E0,FALSE
2005,HOU,"2,804,760","34,627",30.3,30.3,101,100,2,4,10,"$76,779,000.00",Houston Astros,#00A3E0,FALSE
2004,HOU,"3,087,872","38,122",31.7,29.6,101,100,2,4,11,"$75,397,000.00",Houston Astros,#00A3E0,FALSE
2003,HOU,"2,454,241","30,299",31.1,27.6,103,102,2,1,9,"$71,040,000.00",Houston Astros,#00A3E0,FALSE
2002,HOU,"2,517,357","31,078",30.1,27.3,106,105,2,1,11,"$63,448,417.00",Houston Astros,#00A3E0,FALSE
2001,HOU,"2,904,277","35,855",30.3,28.4,106,106,2,3,12,"$60,612,667.00",Houston Astros,#00A3E0,FALSE
2000,HOU,"3,056,139","37,730",29.1,28,107,107,2,1,10,"$51,289,111.00",Houston Astros,#00A3E0,FALSE
1999,HOU,"2,706,017","33,000",29.8,27.4,99,98,2,4,9,"$55,114,000.00",Houston Astros,#00A3E0,FALSE
1998,HOU,"2,458,451","30,351",29.7,27.8,98,97,3,2,10,"$42,374,000.00",Houston Astros,#00A3E0,FALSE
1997,HOU,"2,046,781","25,269",28.8,27,96,95,2,3,13,"$34,777,500.00",Houston Astros,#00A3E0,FALSE
1996,HOU,"1,975,888","24,394",28.2,28.5,92,91,2,2,12,"$28,487,000.00",Houston Astros,#00A3E0,FALSE
1995,HOU,"1,363,801","18,942",28.1,27.9,92,92,2,1,13,"$34,169,834.00",Houston Astros,#00A3E0,FALSE
1994,HOU,"1,561,136","26,460",27.8,27.2,95,94,2,5,15,"$33,126,000.00",Houston Astros,#00A3E0,FALSE
1993,HOU,"2,084,618","25,736",27.1,28.3,95,95,2,1,13,"$30,210,500.00",Houston Astros,#00A3E0,FALSE
1992,HOU,"1,211,412","14,956",26.4,27.1,95,96,2,2,10,"$15,407,500.00",Houston Astros,#00A3E0,FALSE
1991,HOU,"1,196,152","14,767",26.1,26.4,93,94,2,2,12,"$12,852,500.00",Houston Astros,#00A3E0,FALSE
1990,HOU,"1,310,927","16,184",28.4,31.8,97,98,1,1,11,"$18,752,500.00",Houston Astros,#00A3E0,FALSE
1989,HOU,"1,834,908","22,377",29,33,97,97,1,2,13,"$15,579,500.00",Houston Astros,#00A3E0,FALSE
1988,HOU,"1,933,505","23,870",29.5,33.1,96,96,2,1,13,"$12,641,167.00",Houston Astros,#00A3E0,FALSE
1987,HOU,"1,909,902","23,579",29.9,31.6,96,96,1,1,14,"$12,758,371.00",Houston Astros,#00A3E0,FALSE
1986,HOU,"1,734,276","21,411",29.9,30.7,97,96,1,4,14,"$9,873,276.00",Houston Astros,#00A3E0,FALSE
1985,HOU,"1,184,314","14,621",29.9,31.4,97,96,1,2,14,"$9,993,051.00",Houston Astros,#00A3E0,FALSE
1984,HOU,"1,229,862","15,183",30.1,31.3,92,92,1,1,17,,Houston Astros,#00A3E0,FALSE
1983,HOU,"1,351,962","16,487",29.1,30.4,93,93,1,2,15,,Houston Astros,#00A3E0,FALSE
1982,HOU,"1,558,555","19,241",29.4,31.8,92,92,2,1,14,,Houston Astros,#00A3E0,FALSE
1981,HOU,"1,321,282","25,907",28.9,31.1,95,94,2,2,14,,Houston Astros,#00A3E0,FALSE
1980,HOU,"2,278,217","28,126",28.7,30.1,92,91,2,2,13,,Houston Astros,#00A3E0,FALSE
1979,HOU,"1,900,312","23,461",27.2,28.3,94,94,0,4,11,,Houston Astros,#00A3E0,FALSE
1978,HOU,"1,126,145","13,903",27.1,26.6,92,92,0,1,12,,Houston Astros,#00A3E0,FALSE
1977,HOU,"1,109,560","13,698",27.5,24.9,91,91,0,1,11,"$841,500.00",Houston Astros,#00A3E0,FALSE
1976,HOU,"886,146","10,807",26.6,25.6,91,91,0,2,10,,Houston Astros,#00A3E0,FALSE
1975,HOU,"858,002","10,593",26.3,26.6,92,93,0,1,8,,Houston Astros,#00A3E0,FALSE
1974,HOU,"1,090,728","13,466",26.8,27.6,95,95,0,1,11,,Houston Astros,#00A3E0,FALSE
1973,HOU,"1,394,004","17,210",28,26.3,99,98,0,2,14,,Houston Astros,#00A3E0,FALSE
1972,HOU,"1,469,247","19,081",27.4,26.3,98,97,0,2,11,,Houston Astros,#00A3E0,FALSE
1971,HOU,"1,261,589","15,575",26.1,26.5,97,97,1,2,13,,Houston Astros,#00A3E0,FALSE
1970,HOU,"1,253,444","15,475",26.6,26.3,96,96,1,2,16,,Houston Astros,#00A3E0,FALSE
1969,HOU,"1,442,995","17,815",26.5,25.6,98,98,1,2,12,,Houston Astros,#00A3E0,FALSE
2019,KCR,"1,479,659","18,267",27.6,27.9,101,102,0,1,3,"$98,183,242.00",Kansas City Royals,#004687,FALSE
2018,KCR,"1,665,107","20,557",28.6,27.6,100,101,0,1,6,"$95,199,167.00",Kansas City Royals,#004687,FALSE
2017,KCR,"2,220,370","27,412",28.9,30.3,101,102,0,3,17,"$127,555,817.00",Kansas City Royals,#004687,FALSE
2016,KCR,"2,557,712","31,577",28.5,29.9,102,102,0,4,14,"$125,132,675.00",Kansas City Royals,#004687,FALSE
2015,KCR,"2,708,549","33,439",29.1,30,104,104,0,7,16,"$121,590,475.00",Kansas City Royals,#004687,TRUE
2014,KCR,"1,956,482","24,154",28.2,28.9,104,103,0,3,16,"$89,804,075.00",Kansas City Royals,#004687,FALSE
2013,KCR,"1,750,754","21,614",26.9,28.9,103,103,0,3,16,"$87,426,250.00",Kansas City Royals,#004687,FALSE
2012,KCR,"1,739,859","21,480",26.1,27.3,102,102,0,1,14,"$61,747,075.00",Kansas City Royals,#004687,FALSE
2011,KCR,"1,724,450","21,290",25.8,26.4,99,100,0,1,13,"$35,712,000.00",Kansas City Royals,#004687,FALSE
2010,KCR,"1,615,327","19,942",28.9,27.5,99,101,0,1,8,"$73,105,210.00",Kansas City Royals,#004687,FALSE
2009,KCR,"1,797,891","22,196",27.6,28.7,97,99,0,1,6,"$76,817,333.00",Kansas City Royals,#004687,FALSE
2008,KCR,"1,578,922","19,493",28,27.6,98,99,0,1,8,"$59,445,500.00",Kansas City Royals,#004687,FALSE
2007,KCR,"1,616,867","19,961",28,27.1,100,101,0,1,10,"$67,691,500.00",Kansas City Royals,#004687,FALSE
2006,KCR,"1,372,638","16,946",29.7,27.7,101,103,0,1,9,"$47,694,000.00",Kansas City Royals,#004687,FALSE
2005,KCR,"1,371,181","16,928",28.1,25.7,99,101,0,1,6,"$36,881,000.00",Kansas City Royals,#004687,FALSE
2004,KCR,"1,661,478","20,768",29,27.4,101,103,0,1,10,"$47,609,000.00",Kansas City Royals,#004687,FALSE
2003,KCR,"1,779,895","22,249",29.2,28,107,108,0,2,8,"$40,518,000.00",Kansas City Royals,#004687,FALSE
2002,KCR,"1,323,036","16,334",29.3,27.8,110,111,0,1,7,"$47,257,000.00",Kansas City Royals,#004687,FALSE
2001,KCR,"1,536,371","18,968",28.2,27.3,106,107,0,1,8,"$35,422,500.00",Kansas City Royals,#004687,FALSE
2000,KCR,"1,564,847","19,319",27.6,25.8,103,103,0,2,6,"$24,903,000.00",Kansas City Royals,#004687,FALSE
1999,KCR,"1,506,068","18,826",26.9,26.9,101,102,0,1,8,"$26,660,000.00",Kansas City Royals,#004687,FALSE
1998,KCR,"1,494,875","18,686",28.8,28.8,101,102,0,1,12,"$38,097,500.00",Kansas City Royals,#004687,FALSE
1997,KCR,"1,517,638","18,970",28.8,27.6,101,102,0,1,16,"$34,810,000.00",Kansas City Royals,#004687,FALSE
1996,KCR,"1,435,997","17,950",27.1,29,99,99,0,1,8,"$20,281,250.00",Kansas City Royals,#004687,FALSE
